Mes,Data,Receita_Projetada_USD,Mes_Nome,Trimestre,Modelo_Utilizado,Receita_Formatada,Variacao_Mensal
2022-07,2022-07-01,1504066.5893055461,Julho,Q3,Gradient Boosting,"$1,504,066.59 USD",0.0
2022-08,2022-08-01,1288271.3087631874,Agosto,Q3,Gradient Boosting,"$1,288,271.31 USD",-14.347455230821604
2022-09,2022-09-01,1318120.9782580435,Setembro,Q3,Gradient Boosting,"$1,318,120.98 USD",2.317032855719936
2022-10,2022-10-01,1325127.7763662622,Outubro,Q4,Gradient Boosting,"$1,325,127.78 USD",0.5315747358393796
2022-11,2022-11-01,1360116.1968117869,Novembro,Q4,Gradient Boosting,"$1,360,116.20 USD",2.640380880209836
2022-12,2022-12-01,1711375.552276987,Dezembro,Q4,Gradient Boosting,"$1,711,375.55 USD",25.82568726764507
